title,dataset,abstract,authors,doi,journal,keywords,,,,
First-Generation Students in Pursuit of the PhD: Comparing Socialization Experiences and Outcomes to Continuing-Generation Peers,dataset-428,"ABSTRACTAlthough first-generation students represent a substantial proportion of doctoral students, few studies have examined their experiences and outcomes. We contribute to this nascent area of inquiry by comparing experiences and outcomes of first-generation and continuing-generation students during the first 3 years of doctoral education. Contrary to expectations, the results based on a national sample of PhD students in biology revealed remarkable similarity in experiences and outcomes between first-generation and continuing-generation students. One notable exception to this overall pattern of similarity was research productivity in the second year. By examining the relationships between students\u2019 experiences and outcomes over time, the findings illuminate the unique ways in which socialization experiences are related to specific outcomes and the extent to which those relationships change across years. Thus, this study offers initial insights into the nuanced ways in which students\u2019 socialization exp...",,"Josipa Roksa, David F. Feldon, Michelle A. Maher",,10.1080/00221546.2018.1435134,,The Journal of Higher Education,,
"Doctoral student funding portfolios across and within engineering, life sciences and physical sciences",dataset-428,"Purpose \n \n \n \n \nThis paper aims to determine the extent to which graduate student funding portfolios vary across and within engineering, life sciences and physical sciences academic fields for degree recipients. \u201cGraduate student funding portfolios\u201d refers to the percentages of students funded by fellowships, research assistantships, teaching assistantships, personal means and other sources within an organizational unit. \n \n \n \n \nDesign/methodology/approach \n \n \n \n \nUsing data from the Survey of Earned Doctorates data set, the authors analyze doctoral students\u2019 self-reported primary mechanisms of funding across and within academic fields varying along the Biglan taxonomy. The authors used cluster analyses and logistic regression to investigate within-field variation in funding portfolios. \n \n \n \n \nFindings \n \n \n \n \nThe authors show significant differences in doctoral student funding portfolios across dimensions of the Biglan taxonomy characterizing academic fields. Within those fields, the authors demonstrate considerable variation in funding; institutions cluster into different \u201cmodes\u201d of funding portfolios that do not necessarily map onto institutional type or control variables. \n \n \n \n \nOriginality/value \n \n \n \n \nDespite tremendous investment in graduate students, there has been little research that can help characterize at the program-level how graduate students are funded, either by internal or external mechanisms. As programs continue to feel the pressures of more limited resources coupled with increasing graduate enrollment demands, investigating graduate student funding at a macro level is becoming increasingly important so programs may better understand constraints and predict shifts in resource availability.",,"David B. Knight, Timothy Kinoshita, Nathan Hyungsok Choe, Maura Borrego",,10.1108/sgpe-d-17-00044,,Studies in Graduate and Postdoctoral Education,,
Research: Sci-Hub provides access to nearly all scholarly literature,dataset-428,,,"Daniel S. Himmelstein, Ariel Rodriguez-Romero, Jacob G. Levernier, Thomas Anthony Munro, Stephen Reid McLaughlin, Bastian Greshake Tzovaras, Casey S. Greene",,10.7554/elife.32822,,eLife,,
Classifying Institutions to Guide Mission-Relevant Performance Assessment,dataset-428,,,Victor M. H. Borden,,10.1163/22125868-12340100,,International Journal of Chinese Education,,
Examining the Carnegie Classification Methodology for Research Universities,dataset-428,,,"Robert Kosar, David W. Scott",,10.1080/2330443x.2018.1442271,,Statistics and Public Policy,,
Radiology Research Funding Current State and Future Opportunities,dataset-428,"Funding for research has become increasingly difficult to obtain in an environment of decreasing clinical revenue, increasing research costs, and growing competition for federal and nonfederal funding sources. This paper identifies critical requirements to build and sustain a successful radiology research program (eg, key personnel and leadership, research training and mentorship, infrastructure, institutional and departmental funding or support), reviews the current state of available funding for radiology (including federal, nonfederal, philanthropy, crowdfunding, and industry), and describes promising opportunities for future funding (eg, health services, comparative effectiveness, and patient-centered outcomes research). The funding climate, especially at the federal level, changes periodically, so it is important to have radiology-specific organizations such as the American College of Radiology and the Academy of Radiology Research serving as our key advocates. Key to obtaining any funding, no matter what the source, is a well-formulated grant proposal, so a review of opportunities specifically available to radiologists to develop and hone their grant-writing skills is provided. Effective and sustained funding for radiology research has the potential to cultivate young researchers, bolster quality research, and enhance health care. Those interested in pursuing research need to be aware of the ever-changing funding landscape, research priority areas, and the resources available to them to succeed. To succeed, radiology researchers need to think about diversification and flexibility in their interests, developing multidisciplinary and multi-institutional projects, and engaging a broader base of stakeholders that includes patients.",,"Alison L Chetlen, Andrew J. Degnan, Mark Guelfguat, Brent Griffith, Jason N. Itri, H Matta, Angela Pui-Ling Tong, Jonathan A. Flug, Dennis Toy, Nikita Consul, Eric A. Walker, Lucy B Spalluto, Andrew D. Smith, Elizabeth A. Krupinski",,10.1016/j.acra.2017.07.013,,Academic Radiology,,"Advocate (person), Numerous, Review [Publication Type], Health Care, Health Services, Request for Proposals, Patients,  Outcomes Research"
The role of the microbiome in immunologic development and its implication for pancreatic cancer immunotherapy,dataset-427,"Our understanding of the microbiome and its role in immunity, cancer initiation, and cancer progression has evolved significantly over the past century. The \""germ theory of cancer\"" was first proposed in the early 20th century, and shortly thereafter the bacterium Helicobacter pylori, and later Fusobacterium nucleatum, were implicated in the development of gastric and colorectal cancers, respectively. However, with the development of reliable mouse models and affordable sequencing technologies, the most fascinating aspect of the microbiome-cancer relationship, where microbes undermine cancer immune surveillance and indirectly promote oncogenesis, has only recently been described. In this review, we highlight the essential role of the microbiome in immune system development and maturation. We review how microbe-induced immune activation promotes oncogenesis, focusing particularly on pancreatic carcinogenesis, and show that modulation of the microbiome augments the anti-cancer immune response and enables successful immunotherapy against pancreatic cancer.","Vrishketan Sethi, Gerardo A Vitiello, Deepak Saxena, George Miller, Vikas Dudeja",10.1053/j.gastro.2018.12.045,Gastroenterology,"Pancreatic carcinoma, Immunotherapy, Microbiome, Colorectal Neoplasms ",,,,
"The relation between research priorities and societal demands: The case of rice""",dataset-427,"To what extent is scientific research related to societal needs? To answer this crucial question systematically we need to contrast indicators of research priorities with indicators of societal needs. We focus on rice research and technology between 1983 and 2012. We combine quantitative methods that allow investigation of the relation between \u2018revealed\u2019 research priorities and \u2018revealed\u2019 societal demands, measured respectively by research output (publications) and national accounts of rice use and farmers\u2019 and consumers\u2019 rice-related needs. We employ new bibliometric data, methods and indicators to identify countries\u2019 main rice research topics (priorities) from publications. For a panel of countries, we estimate the relation between revealed research priorities and revealed demands. We find that, across countries and time, societal demands explain a country's research trajectory to a limited extent. Some research priorities are nicely aligned to societal demands, confirming that science is partly related to societal needs. However, we find a relevant number of misalignments between the focus of rice research and revealed demands, crucially related to human consumption and nutrition. We discuss some implications for research policy.","Tommaso Ciarli, Ismael Ràfols",10.1016/j.respol.2018.10.027,Research Policy,"Research priority, Agenda setting, Research trajectories, Societal needs, Scientometrics, Rice",,,,
"African Americans in evolutionary science: where we have been, and whataTMs next",dataset-371,"In 2017 National Science Foundation data revealed that in the United States the professional biological workforce was composed of\u2009~\u200969.5% \u201cwhites\u201d, 21.3% \u201cAsians\u201d, and only 3% \u201cAfrican American or Blacks\u201d (National Science Foundation, 2017, https://ncsesdata.nsf.gov/doctoratework/2017/html/sdr2017_dst_03.html). There are problems with the categories themselves but without too deep an investigation of these, these percentages are representative of the demography of biology as a whole over the latter portion of the twentieth and beginning of the twenty-first century. However, evolutionary biologists would argue (and correctly so) that the representation of persons of African descent in our field is probably an order of magnitude lower (0.3%). This commentary focuses on the factors that are associated with underrepresentation of African Americans in evolutionary science careers."",",Joseph L. Graves,10.1186/s12052-019-0110-5,Evolution: Education and Outreach,"African Americans, Evolutionary science, Institutional racism, Aversive racism, Diversity, Inclusion",,,,
Shifting Gears: Characteristics and Consequences of Latent Class Transitions in Doctoral Socialization,dataset-371,"Using a national sample of 336 biology Ph.D. students, this study classified students based on their interactions with faculty and peers, and investigated longitudinal changes in their interaction classifications over 3 years. We also examined associations between students interaction classifications, their demographic backgrounds (e.g., gender, international student status, first-generation status, and underrepresented racial/ethnic minority status), and doctoral outcomes (e.g., sense of belonging, satisfaction with academic development, institutional commitment, and scholarly productivity). The findings revealed that three distinct subgroups existed among the current sample of biology Ph.D. students, with respect to their interactions with their faculty and peers: high interaction with faculty and peers, high interaction with peers only, and low interaction with faculty and peers. However, such patterns of doctoral students interactions with faculty and peers tended to, in general, be stable over time. In addition, while the differential effects of demographic variables on changes in these interaction patterns were widely founded, such changes were not substantially linked to doctoral student outcomes. Implications for research on doctoral education and socialization theory are discussed.","Soojeong Jeong, Kaylee Litson, Jennifer Blaney, David F. Feldon",10.1007/s11162-019-09583-7,Research in Higher Education,"Doctoral socialization, Faculty-student interaction, Peer interaction, Person-centered approach, Latent transition analysis ",,,,
Policy should change to improve invited speaker diversity and reflect trainee diversity,dataset-371,"The biomedical sciences have a problem retaining white women and underrepresented minorities in academia. Despite increases in the representation of these groups in faculty candidate pools, they are still underrepresented at the faculty level, particularly at the Full Professor level. The lack of diverse individuals at the Full Professor level contributes to the attrition of women and under-represented minorities, as it confirms unconscious biases. The presence of unconscious biases contribute to feelings of not belonging by trainees and are amplified by visual representation of who is presented as the top scientist in their field. Top scientists are not only defined by the attainment of Full Professorships, but also through invited seminar series. Invitations for faculty to present their research at other university departments is highly valued offer that provides an opportunity for collaborations and networking. However, if invited speakers do not represent the demographics of current trainees, these visual representations of successful scientists may contribute to decreased attitudes of self-identification as a scientist, ultimately resulting in trainees leaving the field or the academy. In this study, we compare invited-speaker demographics to the current trainee demographics in one microbiology and immunology department and find that trainees are not proportionally represented by speakers invited to the department. Our investigation prompted changes in policy for how invited speakers are selected in the future to invite a more diverse group of scientists. To facilitate this process, we developed a set of tips and a web-based resource that allows scientists, committees, and moderators to identify members of under-served groups. These resources can be easily adapted by other fields or sub-fields to promote inclusion and diversity at seminar series, conferences, and colloquia.","Ada K Hagan, Rebecca M Pollet, Josie Libertucci",10.1101/785717,BioRxiv,"Inclusion, Diversity, Invited Speakers, Academia, Graduate Programs",,,,
Probing the National Geoscience Faculty Survey for reported use of practices that support inclusive learning environments in undergraduate courses,dataset-371,"AbstractWhat is the extent to which college and university geoscience faculty report using education practices that contribute to more inclusive learning environments and engage a diverse populatio..."",","Rachel J. Beane, Karen McNeal, R. Heather Macdonald",10.1080/10899995.2019.1621714,Journal of Geoscience Education,"Diversity,Inclusive pedagogy, Science teaching, Student success",,,,
Academic Entrepreneurship: The Bayh-Dole Act versus the ProfessoraTMs Privilege,dataset-371,"Is the Bayh-Dole intellectual property regime associated with more and better academic entrepreneurship than the Professor\u2019s Privilege regime? The authors examine data on US PhDs in the natural sciences, engineering, and medical fields who became entrepreneurs in 1993\u20132006 and compare this to similar data from Sweden. They find that, in both countries, those with an academic background have lower rates of entry into entrepreneurship than do those with a non-academic background. The relative rate of academics starting entrepreneurial firms is slightly lower in the United States than in Sweden. Moreover, the mean economic gains from becoming an entrepreneur are negative, both for PhDs originating in academia and for non-academic settings in both countries. Analysis indicates that selection into entrepreneurship occurs from the lower part of the ability distribution among academics. The results suggest that policies supporting entrepreneurial decisions by younger, tenure-track academics may be more effective..."",","Thomas Åstebro, Serguey Braguinsky, Pontus Braunerhjelm, Anders Broström",10.1177/0019793918819809,ILR Review,"Academic Entrepreneurship, Innovation, Royalty Sharing, Bayh-Dole, Professors Privilege",,,,
A data-based guide to the North American ecology faculty job market,dataset-371,"Every year for three years (2016 to 2018), I tried to identify every single person hired as a tenure track prof in ecology or an allied field (e.g., fish & wildlife) in N. America. I identified a total of 566 hires. I used public sources to compile various data on the new hires and the institutions that hired them (e.g., number of publications, teaching experience, hiring institution Carnegie class). I also compiled data provided by anonymous ecology faculty job seekers on ecoevojobs.net (e.g., number of positions applied for, number of publications, numbers of interviews and offers). And I polled readers of the Dynamic Ecology blog to get information about applicant and search committee behavior (e.g., regarding customization of applications to the hiring institution). These data address some widespread anxieties and misunderstandings about the ecology faculty job market, and also speak to gender diversity and equity in recent ecology faculty hiring. They complement, and in some cases improve on, other sources of information, such as anecdotal personal experiences."",",Jeremy W Fox,10.1101/751867,BioRxiv,,,,,
Developing an Indigenous Knowledge Field Camp,dataset-371,This chapter describes a field\based experience based on Native American best mentoring practices that brings together traditional ecological knowledge and Western science to build relationships and understanding between Native students and faculty mentors.,"Jerry R. McMurtry, Raquel Gonçalves Arouca, Aaron M Thomas",10.1002/he.20336,New Directions for Higher Education,,,,,
Why foreign STEM PhDs are unlikely to work for US technology startups,dataset-371,"Visa policies to retain United States-trained STEM PhDs are of central importance to national innovation and economic competitiveness. There is also growing interest in \""startup\"" visas that stimulate entrepreneurial activity and job creation, particularly in technology sectors. However, there is little understanding of how visa policies might influence foreign PhDs' employment in technology startups. This study investigates differences between 2,324 foreign and US PhDs from US research universities using a longitudinal survey of individuals' preferences and characteristics during graduate school and their subsequent employment in a startup or established firm. Among PhDs whose first job is industrial research & development, 15.8% of US PhDs work in a startup compared with 6.8% of foreign PhDs. Foreign PhDs are as likely as US PhDs to apply to and receive offers for startup jobs, but conditional on receiving an offer, they are 56% less likely to work in a startup. This disparity is partially explained by differences in visa sponsorship between startups and established firms and not by foreign PhDs' preferences for established firm jobs, risk tolerance, or preference for higher pay. Foreign PhDs who first work in an established firm and subsequently receive a green card are more likely to move to a startup than another established firm, suggesting that permanent residency facilitates startup employment. These findings suggest that US visa policies may deter foreign PhDs from working in startups, thereby restricting startups' access to a large segment of the STEM PhD workforce and impairing startups' ability to contribute to innovation and economic growth."",","Michael Roach, John David Skrentny, ",10.1073/pnas.1820079116,Proceedings of the National Academy of Sciences,"Occupations, Policy, Universities, Green Card",,,,
"On the nexus between innovation, productivity and migration of US university graduates",dataset-371,"This paper studies the link between the migration of US university graduates, innovation and productivity. Using migration flows extracted from the SESTAT database and following a simultane..."",",Pantelis Kazakis,10.1080/17421772.2019.1636127,Spatial Economic Analysis,"Skilled Worker Migration,Human Capital,?Innovation,?Total Factor Productivity",,,,
Biobusiness consulting to prepare scientists for industry careers,dataset-371,"Evidence indicates that participation in a biobusiness consulting experience has an important impact on the career path of participants while not affecting their scientific productivity."",","Julie E. Tetzlaff, Philip S. Clifford",10.1038/s41587-019-0173-4,Nature Biotechnology,,,,,
Stability and Longevity in the Publication Careers of U.S. Doctorate Recipients,dataset-371,"Since the 1950s, the number of doctorate recipients has risen dramatically in the United States. In this paper, we investigate whether the longevity of doctorate recipients publication careers has changed. This is achieved by matching 1951C2010 doctorate recipients with rare names in astrophysics, chemistry, economics, genetics and psychology in the dissertation database ProQuest to their publications in the publication database Web of Science. Our study shows that pre-PhD publication careers have changed: the median year of first publication has shifted from after the PhD to several years before PhD in most of the studied fields. In contrast, post-PhD publication career spans have not changed much in most fields. The share of doctorate recipients who have published for more than twenty years has remained stable over time; the shares of doctorate recipients publishing for shorter periods also remained almost unchanged. Thus, though there have been changes in pre-PhD publication careers, post-PhD career spans remained quite stable.","Cathelijn J. F.Waaijer, Benoit Macaluso, Cassidy R. Sugimoto, Vincent Larivire",10.1371/journal.pone.0154741,PLoS One,,,,,
Measuring time to the doctorate: reinterpretation of the evidence,dataset-371,"There has been increasing concern that the length of time it takes to earn a doctorate in this country has increased dramatically over the last 20 years. The regularly cited evidence-organized by the year in which recipients of doctorates were awarded their degrees-s seriously misleading, however. The application of stable population theory to the problem suggests that the steady fall in the sizes of entering cohorts to graduate school has inflated both the measure of the absolute level of median time to degree and the increase in time to degree. When the same underlying data are reorganized by the year in which recipients of doctorates received their bac-calaureate, the statistical bias is eliminated, and the median total time to degree in the humanities is shown to have risen 15-20% rather than the reported 40%. ","William G. Bowen, Graham Lord, Julie Ann Sosa",10.1073/pnas.88.3.713,Proceedings of the National Academy of Sciences,,,,,
WHO'S PATENTING IN THE UNIVERSITY? EVIDENCE FROM THE SURVEY OF DOCTORATE RECIPIENTS,dataset-371,"We use the Survey of Doctorate Recipients to examine the question of who in US universities is patenting. Because standard methods of estimation are not directly applicable, we use a zero-inflated negative binomial model to estimate the patent equation, using instruments for the number of articles to avoid problems of endogeneity. We also estimate the patent model using the generalized method of moments estimation of count data models with endogenous regressors. We find work context and field to be important predictors of the number of patent applications. We also find patents to be positively and significantly related to the number of publications. This finding is robust to the choice of instruments and method of estimation. The cross-sectional nature of the data preclude an examination of whether a trade-off exists between publishing and patenting, holding individual characteristics constant over time. But the strong cross-sectional correlation that we find does not suggest that commercialization has come at the expense of placing knowledge in the public domain."",","Paula E. Stephan, Shiferaw Gurmu, Albert J. Sumell, Grant C. Black",10.1080/10438590600982806,Economics of Innovation and New Technology,"Academic research productivity, Patenting, Publishing, Technology transfer, Count data models, BayhCDole Act",,,,
"Stay Rates of Foreign Doctorate Recipients from U.S. Universities, 2007",dataset-371,"Study of the stay rate in the United States of foreign nationals receiving their S/E doctorates from U.S. universities. This study has estimated stay rates in 2007 for persons receiving a doctorate one, two, five, and ten years previously. The two-year stay rate (for 2005 graduates) recovered from the decline experienced earlier in the decade. The five-year stay rate (for 2002 graduates) is lower; the ten-year stay rate (for 1997 graduates) reached a new high."",",Michael G. Finn,10.2172/971617,U.S. Department of Energy Office of Scientific and Technical Information,,,,,
Marriage and Baby Blues: Redefining Gender Equity in the Academy,dataset-371,"The results of the study discussed in this article indicate that gender equity in terms of familial gains is as elusive as gender equity in terms of professional employment, raising the issue of what gender eq","Mary Ann Mason, Marc Goulden",10.1177/000271620459600104,The ANNALS of the American Academy of Political and Social Science,,,,,
Gender Differences in Salary and Promotion in the Humanities,dataset-371,"This study finds differences in employment outcomes by gender using two methods: the Oaxaca decomposition is used to examine salary differentials, and duration analysis is used to estimate promotion to tenure. While gender salary differences can largely be explained by academic rank, substantial gender differences in promotion to tenure exist after controlling for productivity, demographic characteristics, and primary work activity.","Kathy J. Hayes, Donna K. Ginther",10.1257/aer.89.2.397,American Economic Review,,,,,
Factors in Decisions of Underrepresented Minorities to Forego Science and Engineering Doctoral Study: A Pilot Study,dataset-371,"The research described here comprised a pilot study that attempted to identify the factors in decisions of highly capable students from underrepresented minority groups to forego study for science or engineering doctorates. Underrepresented students are defined as Blacks, Hispanics, and Indians. While these groups will soon comprise 30% or more of the population, they receive only 5% of the S & E (Science and Engineering) doctorates. The research was completed under NSF (National Science Foundation) grant no. REC 9908861. The research built on a previous NSF study (RED-9355867) that identified the most effective colleges and universities in the country in the preparation of Black, Hispanic, and Indian science and engineering students for study toward the PhD degree. One of the major concerns raised during the site visits to the top 10 institutions serving these groups was the loss of capable students to other careers. The study obtained information from minority graduates about factors impacting persistence to graduate studies in science and engineering and solicited suggestions for attracting more people like themselves to S & E doctoral study. Twelve underrepresented minority S & E graduates who decided to forego doctoral study in favor of other pursuits. Themes emerging from these conversations regarding reluctance to pursue advanced study included the following: concern for ability to finance such study; weaknesses in advisement practices and systems; lack of full knowledge, early on, about the rewards of doctoral employment; and concern about opportunities for employment after graduation. Suggestions proffered for attracting more underrepresented minorities to S & E doctoral study included the following: early socialization of youngsters into the world of science and its practice; expanded funding for scholarships and fellowships; expanded outreach by colleges and universities; expanded efforts by churches and community groups and deeper commitments by colleges and universities.","Marian E. Brazziel, William F. Brazziel",10.1023/a:1016694701704,Journal of Science Education and Technology,"Minority Group, Educational Technology, Community Group, Site Visit, Engineering Student",,,,
"Diversifying Science and Engineering Faculties: Intersections of Race, Ethnicity, and Gender",dataset-371,"The fields of science, technology, engineering, and mathematics (STEM) drive economies worldwide. In such knowledge-based economies, no nation can afford to use its human resources inefficiently and ineffectively. Faculties exert a great deal of influence on the science and engineering (S&E) enterprise insofar as they conduct cutting-edge research as well as educate and train the S&E labor forces. This article focuses on the dynamics of the intersections of race/ethnicity and gender on diversifying S&E faculties in colleges and universities in the United States, and the criticality of disaggregating data to better understand these dynamics. Failure to disaggregate race/ethnicity data by gender, and gender data by race/ethnicity, masks important distinctions among groups. Failure to systematically take into account these distinctions results in policy, programs, practices, and institutions that are both inefficient and ineffective in developing and enhancing the S&E labor forces."",",Cheryl B. Leggon,10.1177/0002764209356236,American Behavioral Scientist,"Universities, Criticality matrix, Masks, physical hard work, college",,,,
Foreign-born academic scientists and engineers: producing more and getting less than their U.S.-born peers?,dataset-371,"The Chronicle of Higher Education recently reported that the number of doctoral degrees awarded in the U.S. rose 3.4 percent in 2004, largely because of an increase in foreign students [Smallwood (2005). Doctoral degrees rose 3.4% in 2004, survey finds. The Chronicle of Higher Education, December 9, 2005]. Currently, 20.9 percent [National Science Board (2003). The science and engineering workforce realizing America\u2019s potential. NSB, vol. 3, National Science Foundation] of all science and engineering faculty positions at U.S. universities are held by foreign-born scientists (with even larger percentages in computer science and engineering)\u2014and we can expect higher numbers of foreign-born faculty at U.S. universities in the future. In this paper, we use 2001 Survey of Doctorate Recipients (SDR) data from the National Science Foundation to compare productivity levels, work satisfaction levels and career trajectories of foreign-born scientists and U.S.-born scientists. The results indicate that foreign-born academic scientists and engineers are more productive than their U.S.-born peers in all areas. Yet, average salaries and work satisfaction levels for foreign-born scientists are lower than for U.S.-born scientists."",","Elizabeth A. Corley, Meghna Sabharwal",10.1007/s11162-007-9055-6,Research in Higher Education,"Universities, Awards, ETSI Satellite Digital Radio, Large, Doctorate Degree",,,,
Why the US science and engineering workforce is aging rapidly,dataset-371,"The science and engineering workforce has aged rapidly in recent years, both in absolute terms and relative to the workforce as a whole. This is a potential concern if the large number of older scientists crowds out younger scientists, making it difficult for them to establish independent careers. In addition, scientists are believed to be most creative earlier in their careers, so the aging of the workforce may slow the pace of scientific progress. We develop and simulate a demographic model, which shows that a substantial majority of recent aging is a result of the aging of the large baby boom cohort of scientists. However, changes in behavior have also played a significant role, in particular, a decline in the retirement rate of older scientists, induced in part by the elimination of mandatory retirement in universities in 1994. Furthermore, the age distribution of the scientific workforce is still adjusting. Current retirement rates and other determinants of employment in science imply a steady-state mean age 2.3 y higher than the 2008 level of 48.6.","David M. Blau, Bruce A. Weinberg",10.1073/pnas.1611748114,Proceedings of the National Academy of Sciences,"Aging, Demography, Universities, Excretory function, Mandatory - HL7DefinedRoseProperty",,,,
Women in Academic Science: A Changing Landscape,dataset-371,"Much has been written in the past two decades about women in academic science careers, but this literature is contradictory. Many analyses have revealed a level playing field, with men and women faring equally, whereas other analyses have suggested numerous areas in which the playing field is not level. The only widely-agreed-upon conclusion is that women are underrepresented in college majors, graduate school programs, and the professoriate in those fields that are the most mathematically intensive, such as geoscience, engineering, economics, mathematics/computer science, and the physical sciences. In other scientific fields (psychology, life science, social science), women are found in much higher percentages. In this monograph, we undertake extensive life-course analyses comparing the trajectories of women and men in math-intensive fields with those of their counterparts in non-math-intensive fields in which women are close to parity with or even exceed the number of men. We begin by examining early-childhood differences in spatial processing and follow this through quantitative performance in middle childhood and adolescence, including high school coursework. We then focus on the transition of the sexes from high school to college major, then to graduate school, and, finally, to careers in academic science. The results of our myriad analyses reveal that early sex differences in spatial and mathematical reasoning need not stem from biological bases, that the gap between average female and male math ability is narrowing (suggesting strong environmental influences), and that sex differences in math ability at the right tail show variation over time and across nationalities, ethnicities, and other factors, indicating that the ratio of males to females at the right tail can and does change. We find that gender differences in attitudes toward and expectations about math careers and ability (controlling for actual ability) are evident by kindergarten and increase thereafter, leading to lower female propensities to major in math-intensive subjects in college but higher female propensities to major in non-math-intensive sciences, with overall science, technology, engineering, and mathematics (STEM) majors at 50% female for more than a decade. Post-college, although men with majors in math-intensive subjects have historically chosen and completed PhDs in these fields more often than women, the gap has recently narrowed by two thirds; among non-math-intensive STEM majors, women are more likely than men to go into health and other people-related occupations instead of pursuing PhDs. Importantly, of those who obtain doctorates in math-intensive fields, men and women entering the professoriate have equivalent access to tenure-track academic jobs in science, and they persist and are remunerated at comparable rates-with some caveats that we discuss. The transition from graduate programs to assistant professorships shows more pipeline leakage in the fields in which women are already very prevalent (psychology, life science, social science) than in the math-intensive fields in which they are underrepresented but in which the number of females holding assistant professorships is at least commensurate with (if not greater than) that of males. That is, invitations to interview for tenure-track positions in math-intensive fields-as well as actual employment offers-reveal that female PhD applicants fare at least as well as their male counterparts in math-intensive fields. Along these same lines, our analyses reveal that manuscript reviewing and grant funding are gender neutral: Male and female authors and principal investigators are equally likely to have their manuscripts accepted by journal editors and their grants funded, with only very occasional exceptions. There are no compelling sex differences in hours worked or average citations per publication, but there is an overall male advantage in productivity. We attempt to reconcile these results amid the disparate claims made regarding their causes, examining sex differences in citations, hours worked, and interests. We conclude by suggesting that although in the past, gender discrimination was an important cause of women's underrepresentation in scientific academic careers, this claim has continued to be invoked after it has ceased being a valid cause of women's underrepresentation in math-intensive fields. Consequently, current barriers to women's full participation in mathematically intensive academic science fields are rooted in pre-college factors and the subsequent likelihood of majoring in these fields, and future research should focus on these barriers rather than misdirecting attention toward historical barriers that no longer account for women's underrepresentation in academic science."",","Stephen J Ceci, Donna K Ginther, Shulamit Kahn, Wendy M. Williams",10.1177/1529100614541236,Psychological Science in the Public Interest,"Sex Characteristics, Social Sciences, Biological Science Disciplines, Productivity, Earth Sciences, Extravasation",,,,
"Career goals, pathways and competencies of geography graduate students in the USA",dataset-371,"This study examines the motivations and career goals of geography graduate students and the extent they are prepared in transferable skills. Women and students specializing in geographic information science and technology are primarily motivated by career opportunities in the private sector, whereas doctoral students express a preference for academic career paths and their goals are more influenced by faculty and departmental prestige. Students in Master's programs and those specializing in physical geography are more likely to seek positions with government employers. Master's and doctoral programs are providing opportunities for students to develop competency in a wide-range of transferable skills. However, there are many organizational and business-oriented skills that employers value but which are not commonly taught in graduate curricula in geography programs."",","Michael Norman Solem, Aurelia Kollasch, Jenny J. Lee",10.1080/03098265.2012.729563,Journal of Geography in Higher Education,"Graduate Education, Career Preparation, Transferable Skills",,,,
The Pathology Workforce and Clinical Licensure: The Role of the PhD Clinical Laboratorian in the United States,dataset-371,"There has been a recent recognition of the need to prepare PhD-trained scientists for increasingly diverse careers in academia, industry, and health care. The PhD Data Task Force was formed to better understand the current state of PhD scientists in the clinical laboratory workforce and collect up-to-date information on the training and certification of these laboratorians. In this report, we summarize the findings of the PhD Data Task Force and discuss the relevance of the data collected to the future supply of and demand for PhD clinical laboratory scientists. It is clear that there are multiple career opportunities for PhD scientists in academic medical centers, commercial clinical laboratories, biotechnology and pharmaceutical companies, and the federal government. Certified PhD scientists have and will continue to form an important resource for our technologically advancing field, bringing training in scientific methods, and technologies needed for modern laboratory medicine. The data gathered by the PhD Data Task Force will be of great interest to current and future PhD candidates and graduate PhD scientists as they make decisions regarding future career directions."",","Robin G. Lorenz, Donald S. Karcher, Michael D. Gautreaux, Melvin Limson, Dani S. Zander",10.1177/2374289518775948,Academic Pathology,"Relevance, Laboratory, Academia (organization), Academic Medical Centers, Certification, Health Care",,,,
The bachelor's to Ph.D. STEM pipeline no longer leaks more women than men: a 30-year analysis,dataset-371,"For decades, research and public discourse about gender and science have often assumed that women are more likely than men to \""leak\"" from the science pipeline at multiple points after entering college. We used retrospective longitudinal methods to investigate how accurately this \""leaky pipeline\"" metaphor has described the bachelor's to Ph.D. transition in science, technology, engineering, and mathematics (STEM) fields in the U.S. since the 1970s. Among STEM bachelor's degree earners in the 1970s and 1980s, women were less likely than men to later earn a STEM Ph.D. However, this gender difference closed in the 1990s. Qualitatively similar trends were found across STEM disciplines. The leaky pipeline metaphor therefore partially explains historical gender differences in the U.S., but no longer describes current gender differences in the bachelor's to Ph.D. transition in STEM. The results help constrain theories about women's underrepresentation in STEM. Overall, these results point to the need to understand gender differences at the bachelor's level and below to understand women's representation in STEM at the Ph.D. level and above. Consistent with trends at the bachelor's level, women's representation at the Ph.D. level has been recently declining for the first time in over 40 years."",","David I. Miller, Jonathan M. Wai",10.3389/fpsyg.2015.00037,Frontiers in Psychology,"Sex Characteristics, Computer science, Physical Sciences",,,,
